PostcodeDistrict,EstimatedDogPopulation,Area Name,District
AB10,"1,921.75",Aberdeen,Scotland
AB11,"2,377.35",Aberdeen,Scotland
AB12,"4,130.35",Aberdeen,Scotland
AB13,"1,323.24",Aberdeen,Scotland
AB14,"2,666.50",Aberdeen,Scotland
AB15,"10,062.23",Aberdeen,Scotland
AB16,"6,495.69",Aberdeen,Scotland
AB21,"6,226.34",Aberdeen,Scotland
AB22,"2,236.84",Aberdeen,Scotland
AB23,"1,255.46",Aberdeen,Scotland
AB24,"2,286.94",Aberdeen,Scotland
AB25,975.9487636,Aberdeen,Scotland
AB30,"4,845.81",Aberdeen,Scotland
AB31,"4,542.91",Aberdeen,Scotland
AB32,"1,058.86",Aberdeen,Scotland
AB33,"2,248.71",Aberdeen,Scotland
AB34,"2,502.77",Aberdeen,Scotland
AB35,858.8343469,Aberdeen,Scotland
AB36,227.9865774,Aberdeen,Scotland
AB37,924.1709029,Aberdeen,Scotland
AB38,"2,870.99",Aberdeen,Scotland
AB39,"5,622.39",Aberdeen,Scotland
AB41,"8,552.49",Aberdeen,Scotland
AB42,"11,446.46",Aberdeen,Scotland
AB43,"10,414.48",Aberdeen,Scotland
AB44,"2,761.73",Aberdeen,Scotland
AB45,"3,683.02",Aberdeen,Scotland
AB51,"14,570.64",Aberdeen,Scotland
AB52,"4,914.42",Aberdeen,Scotland
AB53,"10,471.22",Aberdeen,Scotland
AB54,"3,080.71",Aberdeen,Scotland
AB55,"4,813.52",Aberdeen,Scotland
AB56,994.184212,Aberdeen,Scotland
AL1,"2,947.95",St. Albans,East of England
AL10,"4,618.42",St. Albans,East of England
AL2,"8,474.91",St. Albans,East of England
AL3,"4,657.89",St. Albans,East of England
AL4,"3,543.41",St. Albans,East of England
AL5,"5,093.80",St. Albans,East of England
AL6,"4,767.78",St. Albans,East of England
AL7,"5,338.97",St. Albans,East of England
AL8,"3,162.90",St. Albans,East of England
AL9,"6,759.17",St. Albans,East of England
B1,491.4494247,Birmingham,West Midlands
B10,660.3877884,Birmingham,West Midlands
B11,"1,656.02",Birmingham,West Midlands
B12,697.1300221,Birmingham,West Midlands
B13,"1,835.91",Birmingham,West Midlands
B14,"3,289.50",Birmingham,West Midlands
B15,978.4633011,Birmingham,West Midlands
B16,"1,166.88",Birmingham,West Midlands
B17,"2,115.73",Birmingham,West Midlands
B18,778.2985062,Birmingham,West Midlands
B19,304.2854407,Birmingham,West Midlands
B2,101.5183154,Birmingham,West Midlands
B20,580.5307297,Birmingham,West Midlands
B21,583.2032814,Birmingham,West Midlands
B23,"2,824.52",Birmingham,West Midlands
B24,"2,084.11",Birmingham,West Midlands
B25,"1,167.53",Birmingham,West Midlands
B26,"2,269.27",Birmingham,West Midlands
B27,"3,555.85",Birmingham,West Midlands
B28,"2,624.60",Birmingham,West Midlands
B29,"2,039.23",Birmingham,West Midlands
B3,151.1562956,Birmingham,West Midlands
B30,"1,806.81",Birmingham,West Midlands
B31,"4,430.13",Birmingham,West Midlands
B32,"2,605.95",Birmingham,West Midlands
B33,"2,312.56",Birmingham,West Midlands
B34,"1,148.70",Birmingham,West Midlands
B35,857.4911811,Birmingham,West Midlands
B36,"2,236.69",Birmingham,West Midlands
B37,"4,610.14",Birmingham,West Midlands
B38,"1,576.69",Birmingham,West Midlands
B4,73.36282433,Birmingham,West Midlands
B40,10.68923162,Birmingham,West Midlands
B42,"1,498.00",Birmingham,West Midlands
B43,"3,651.40",Birmingham,West Midlands
B44,"3,471.78",Birmingham,West Midlands
B45,"3,609.75",Birmingham,West Midlands
B46,"4,257.61",Birmingham,West Midlands
B47,"2,847.29",Birmingham,West Midlands
B48,"1,663.00",Birmingham,West Midlands
B49,"2,812.61",Birmingham,West Midlands
B5,503.6620122,Birmingham,West Midlands
B50,"1,462.05",Birmingham,West Midlands
B6,271.4244318,Birmingham,West Midlands
B60,"5,029.56",Birmingham,West Midlands
B61,"4,900.13",Birmingham,West Midlands
B62,"3,249.17",Birmingham,West Midlands
B63,"4,000.49",Birmingham,West Midlands
B64,"1,683.63",Birmingham,West Midlands
B65,"3,556.48",Birmingham,West Midlands
B66,"1,290.26",Birmingham,West Midlands
B67,"1,648.65",Birmingham,West Midlands
B68,"2,383.01",Birmingham,West Midlands
B69,"3,167.06",Birmingham,West Midlands
B7,244.1815948,Birmingham,West Midlands
B70,"1,638.65",Birmingham,West Midlands
B71,"2,447.28",Birmingham,West Midlands
B72,650.8723414,Birmingham,West Midlands
B73,"1,985.17",Birmingham,West Midlands
B74,"3,892.32",Birmingham,West Midlands
B75,"2,026.70",Birmingham,West Midlands
B76,"1,485.94",Birmingham,West Midlands
B77,"4,479.95",Birmingham,West Midlands
B78,"4,691.47",Birmingham,West Midlands
B79,"4,766.39",Birmingham,West Midlands
B8,902.3651019,Birmingham,West Midlands
B80,"1,169.07",Birmingham,West Midlands
B9,810.5404215,Birmingham,West Midlands
B90,"11,614.33",Birmingham,West Midlands
B91,"10,038.41",Birmingham,West Midlands
B92,"7,426.32",Birmingham,West Midlands
B93,"3,151.90",Birmingham,West Midlands
B94,"1,998.21",Birmingham,West Midlands
B95,891.5870802,Birmingham,West Midlands
B96,"1,902.01",Birmingham,West Midlands
B97,"5,993.60",Birmingham,West Midlands
B98,"3,984.27",Birmingham,West Midlands
BA1,"8,100.73",Bath,South West England
BA10,"1,389.86",Bath,South West England
BA11,"13,325.50",Bath,South West England
BA12,"12,993.63",Bath,South West England
BA13,"3,283.76",Bath,South West England
BA14,"5,278.78",Bath,South West England
BA15,"2,630.13",Bath,South West England
BA16,"1,652.22",Bath,South West England
BA2,"19,949.67",Bath,South West England
BA20,"1,933.54",Bath,South West England
BA21,"5,834.77",Bath,South West England
BA22,"7,669.39",Bath,South West England
BA3,"9,195.84",Bath,South West England
BA4,"8,521.43",Bath,South West England
BA5,"6,098.13",Bath,South West England
BA6,"4,790.25",Bath,South West England
BA7,"4,599.05",Bath,South West England
BA8,"1,539.66",Bath,South West England
BA9,"4,324.25",Bath,South West England
BB1,"8,374.44",Blackburn,North West England 
BB10,"2,499.19",Blackburn,North West England 
BB11,"2,587.92",Blackburn,North West England 
BB12,"4,085.14",Blackburn,North West England 
BB18,"5,911.52",Blackburn,North West England 
BB2,"10,801.35",Blackburn,North West England 
BB3,"5,902.77",Blackburn,North West England 
BB4,"5,083.52",Blackburn,North West England 
BB5,"4,816.82",Blackburn,North West England 
BB6,"3,174.51",Blackburn,North West England 
AB99,0,Aberdeen,
B99,0,Birmingham,
BB7,"9,303.07",Blackburn,North West England 
BB8,"7,731.11",Blackburn,North West England 
BB9,"10,069.18",Blackburn,North West England 
BD1,340.8418253,Bradford,Yorkshire and Humberside
BD10,"5,155.70",Bradford,Yorkshire and Humberside
BD11,"5,737.08",Bradford,Yorkshire and Humberside
BD12,"1,454.78",Bradford,Yorkshire and Humberside
BD13,"1,428.64",Bradford,Yorkshire and Humberside
BD14,412.178355,Bradford,Yorkshire and Humberside
BD15,"1,495.41",Bradford,Yorkshire and Humberside
BD16,"3,674.61",Bradford,Yorkshire and Humberside
BD17,"4,119.92",Bradford,Yorkshire and Humberside
BD18,"7,770.49",Bradford,Yorkshire and Humberside
BD19,"4,191.30",Bradford,Yorkshire and Humberside
BD2,"4,882.08",Bradford,Yorkshire and Humberside
BD20,"19,868.19",Bradford,Yorkshire and Humberside
BD21,"5,651.72",Bradford,Yorkshire and Humberside
BD22,"2,666.08",Bradford,Yorkshire and Humberside
BD23,"12,719.03",Bradford,Yorkshire and Humberside
BD24,"5,555.38",Bradford,Yorkshire and Humberside
BD3,"4,573.46",Bradford,Yorkshire and Humberside
BD4,"5,736.46",Bradford,Yorkshire and Humberside
BD5,"1,352.89",Bradford,Yorkshire and Humberside
BD6,"1,475.17",Bradford,Yorkshire and Humberside
BD7,"1,411.51",Bradford,Yorkshire and Humberside
BD8,"1,875.57",Bradford,Yorkshire and Humberside
BD9,"2,362.97",Bradford,Yorkshire and Humberside
BH1,"2,743.72",Bournemouth,South West England
BH10,"3,033.42",Bournemouth,South West England
BH11,"2,612.05",Bournemouth,South West England
BH12,"4,168.64",Bournemouth,South West England
BH13,"1,134.58",Bournemouth,South West England
BH14,"3,643.67",Bournemouth,South West England
BH15,"4,512.47",Bournemouth,South West England
BH16,"1,945.63",Bournemouth,South West England
BH17,"3,229.73",Bournemouth,South West England
BH18,"2,092.34",Bournemouth,South West England
BH19,"2,308.29",Bournemouth,South West England
BH2,"1,278.03",Bournemouth,South West England
BH20,"10,320.26",Bournemouth,South West England
BH21,"18,384.10",Bournemouth,South West England
BH22,"4,962.60",Bournemouth,South West England
BH23,"12,847.20",Bournemouth,South West England
BH24,"14,611.96",Bournemouth,South West England
BH25,"5,600.92",Bournemouth,South West England
BH3,"1,158.00",Bournemouth,South West England
BH31,"5,255.71",Bournemouth,South West England
BH4,980.3027915,Bournemouth,South West England
BH5,"1,158.65",Bournemouth,South West England
BH6,"2,430.88",Bournemouth,South West England
BH7,"1,136.21",Bournemouth,South West England
BH8,"3,300.94",Bournemouth,South West England
BH9,"4,203.43",Bournemouth,South West England
BL0,"1,504.05",Bolton,North West England 
BL1,"5,082.14",Bolton,North West England 
BL2,"7,801.41",Bolton,North West England 
BL3,"4,380.34",Bolton,North West England 
BL4,"2,711.12",Bolton,North West England 
BL5,"3,571.37",Bolton,North West England 
BL6,"5,409.12",Bolton,North West England 
BL7,"1,719.43",Bolton,North West England 
BL8,"5,225.99",Bolton,North West England 
BL9,"7,740.97",Bolton,North West England 
BN1,"14,868.11",Brighton,South East England
BN10,"3,629.55",Brighton,South East England
BN11,"7,827.86",Brighton,South East England
BN12,"3,902.50",Brighton,South East England
BN13,"8,503.77",Brighton,South East England
BN14,"13,471.21",Brighton,South East England
BN15,"7,920.31",Brighton,South East England
BN16,"9,997.28",Brighton,South East England
BN17,"4,278.95",Brighton,South East England
BN18,"4,002.67",Brighton,South East England
BN2,"16,098.55",Brighton,South East England
BN20,"8,106.42",Brighton,South East England
BN21,"3,030.42",Brighton,South East England
BN22,"5,409.66",Brighton,South East England
BN23,"7,426.06",Brighton,South East England
BN24,"2,262.05",Brighton,South East England
BN25,"4,928.32",Brighton,South East England
BN26,"3,363.59",Brighton,South East England
BN27,"5,235.09",Brighton,South East England
BN3,"9,560.39",Brighton,South East England
BN41,"3,371.03",Brighton,South East England
BN42,"3,178.73",Brighton,South East England
BN43,"8,628.95",Brighton,South East England
BN44,"3,288.63",Brighton,South East England
BN45,497.6597829,Brighton,South East England
BN5,"2,444.26",Brighton,South East England
BN6,"2,898.39",Brighton,South East England
BN7,"5,678.22",Brighton,South East England
BN8,"7,600.20",Brighton,South East England
BN9,"2,776.21",Brighton,South East England
BR1,"4,142.38",Bromley,Greater London
BR2,"2,920.38",Bromley,Greater London
BR3,"2,794.70",Bromley,Greater London
BR4,"1,025.60",Bromley,Greater London
BR5,"5,137.34",Bromley,Greater London
BR6,"6,243.92",Bromley,Greater London
BR7,"1,331.94",Bromley,Greater London
BR8,"2,614.18",Bromley,Greater London
BS1,"2,534.05",Bristol,South West England
BS10,"3,541.88",Bristol,South West England
BS11,"2,559.11",Bristol,South West England
BS13,"4,754.57",Bristol,South West England
BS14,"11,704.02",Bristol,South West England
BS15,"6,685.95",Bristol,South West England
BS16,"11,792.61",Bristol,South West England
BS2,"2,987.46",Bristol,South West England
BS20,"9,332.92",Bristol,South West England
BS21,"4,035.10",Bristol,South West England
BS22,"7,134.93",Bristol,South West England
BS23,"8,096.33",Bristol,South West England
BS24,"5,211.09",Bristol,South West England
BS25,"2,759.34",Bristol,South West England
BS26,"2,134.22",Bristol,South West England
BS27,"5,256.89",Bristol,South West England
BS28,"4,626.94",Bristol,South West England
BS29,623.3794431,Bristol,South West England
BS3,"5,680.87",Bristol,South West England
BS30,"6,193.66",Bristol,South West England
BS31,"2,957.45",Bristol,South West England
BS32,"5,618.76",Bristol,South West England
BS34,"5,026.89",Bristol,South West England
BS35,"3,533.71",Bristol,South West England
BS36,"2,888.13",Bristol,South West England
BS37,"3,827.88",Bristol,South West England
BS39,"4,479.21",Bristol,South West England
BS4,"14,861.76",Bristol,South West England
BS40,"13,218.97",Bristol,South West England
BS41,"1,067.12",Bristol,South West England
BS48,"8,816.65",Bristol,South West England
BS49,"2,649.47",Bristol,South West England
BS5,"7,071.51",Bristol,South West England
BS6,"3,590.61",Bristol,South West England
BS7,"3,955.03",Bristol,South West England
BS8,"3,114.39",Bristol,South West England
BS9,"3,259.61",Bristol,South West England
CA1,"8,155.66",Carlisle,North West England 
CA10,"8,427.84",Carlisle,North West England 
BB94,0,Blackburn,
BD97,0,Bradford,
BD98,0,Bradford,
BD99,0,Bradford,
BL11,0,Bolton,
BL78,0,Bolton,
BN50,0,Brighton,
BN88,0,Brighton,
BN99,0,Brighton,
BS98,0,Bristol,
BS99,0,Bristol,
CA11,"9,816.55",Carlisle,North West England 
CA12,"4,466.16",Carlisle,North West England 
CA13,"5,388.99",Carlisle,North West England 
CA14,"6,954.68",Carlisle,North West England 
CA15,"2,508.06",Carlisle,North West England 
CA16,"2,874.52",Carlisle,North West England 
CA17,"3,233.16",Carlisle,North West England 
CA18,172.5423619,Carlisle,North West England 
CA19,609.6464311,Carlisle,North West England 
