District,In mil,% of dog-owning households,dog owners
East Midlands,587093.5097,32%,187869.9231
East of England,1225072.917,35%,428775.521
Greater London,823161.0858,31%,255179.9366
North East England,488154.2784,40%,195261.7114
North West England,1259173.797,38%,478486.0429
Scotland,1136901.655,36%,409284.5958
South East England,1693931.977,29%,491240.2733
South West England,1670093.703,32%,534429.985
Wales,828828.3053,41%,339819.6052
West Midlands,977190.3596,35%,342016.6259
Yorkshire and Humberside,910222.4094,34%,309475.6192
Total UK,11599824,34%,3943940.16
