District,EstimatedDogPopulation,perc_dog_households,dog_owners
East Midlands,587093.5096988,32,187869.92310361602
East of England,1225072.91661561,35,428775.5208154635
Greater London,823161.0857901541,31,255179.93659494777
North East England,488154.27837149997,40,195261.7113486
North West England,1259173.79685742,38,478486.04280581954
Scotland,1136901.654555412,36,409284.5956399483
South East England,1693931.9771876,29,491240.27338440396
South West England,1670093.702830919,32,534429.9849058941
Wales,828828.3053274,41,339819.605184234
West Midlands,977190.35957785,35,342016.62585224747
Yorkshire and Humberside,910222.4094056,34,309475.619197904
